,id_sc,title,num_c,avg_c,days,avg_day,total_score,year
0,1,The Queen's Gambit,80,561,69,651,44906,2020
1,2,Emily in Paris,80,340,87,312,27164,2020
2,3,Lucifer,78,333,279,93,25973,2020
3,4,The Umbrella Academy,78,301,175,134,23476,2020
4,5,Money Heist,71,320,287,79,22691,2020
5,6,Dark Desire,73,288,147,143,21018,2020
6,7,The Crown,78,269,64,327,20946,2020
7,8,Friends,42,430,282,64,18059,2020
8,9,Yo soy Betty la fea,15,1099,282,58,16483,2020
9,10,Ratched,78,202,50,315,15771,2020
10,11,"Pablo Escobar, The Drug Lord",15,1009,282,54,15137,2020
11,12,Dark,72,208,160,94,14961,2020
12,13,The Last Dance,51,281,123,116,14328,2020
13,14,Snowpiercer,66,210,78,178,13859,2020
14,15,100 Dias Para Enamorarnos,20,657,105,125,13141,2020
15,16,The Haunting of Bly Manor,78,167,51,255,13007,2020
16,17,Cursed,73,175,58,221,12790,2020
17,18,Cobra Kai,77,159,51,241,12269,2020
18,19,It's Okay to Not Be Okay,43,273,146,81,11758,2020
19,20,Paw Patrol,57,193,126,87,11018,2020
20,21,Locked Up,53,203,165,65,10755,2020
21,22,Modern Family,49,219,238,45,10707,2020
22,23,Star Trek: Discovery,64,165,81,131,10581,2020
23,24,Warrior Nun,72,146,44,239,10536,2020
24,25,Too Hot to Handle,51,204,56,186,10389,2020
25,26,Away,72,143,41,251,10288,2020
26,27,Barbaren,79,129,34,299,10174,2020
27,28,Virgin River,75,134,34,296,10080,2020
28,29,Unsolved Mysteries,73,133,56,173,9711,2020
29,30,Tiny Pretty Things,75,125,17,552,9379,2020
30,31,CoComelon,32,282,126,72,9034,2020
31,32,Start-Up,35,240,75,112,8404,2020
32,33,13 Reasons Why,59,140,41,202,8265,2020
33,34,Rick and Morty,59,126,142,52,7444,2020
34,35,Jurassic World: Camp Cretaceous,77,94,31,233,7228,2020
35,36,The King: Eternal Monarch,28,254,124,57,7109,2020
36,37,White Lines,46,153,65,108,7044,2020
37,38,The 100,41,171,235,30,7008,2020
38,39,The Boss Baby: Back in Business,76,89,208,32,6726,2020
39,40,Her Mother's Killer,19,352,100,67,6683,2020
40,41,Dynasty,51,128,83,79,6546,2020
41,42,Riverdale,55,118,174,37,6506,2020
42,43,Space Force,54,119,37,174,6430,2020
43,44,The Order,68,93,30,211,6323,2020
44,45,"Tiger King: Murder, Mayhem and Madness",33,191,62,102,6299,2020
45,46,Good Girls,61,101,38,162,6171,2020
46,47,Ozark,40,151,139,43,6046,2020
47,48,Record of Youth,26,229,79,76,5966,2020
48,49,Amar y Vivir,18,330,100,59,5947,2020
49,50,Pasión de gavilanes,12,481,170,34,5772,2020
50,51,Floor is Lava,64,89,28,204,5721,2020
51,52,To the Lake,72,76,85,65,5505,2020
52,53,The Mess You Leave Behind,66,83,20,274,5485,2020
53,54,Never Have I Ever,50,109,64,85,5452,2020
54,55,The Blacklist,56,97,268,20,5410,2020
55,56,Outer Banks,39,136,72,74,5321,2020
56,57,Jeffrey Epstein: Filthy Rich,48,107,57,90,5119,2020
57,58,The Seven Deadly Sins,61,83,70,73,5083,2020
58,59,Crash Landing on You,10,471,281,17,4708,2020
59,60,Prison Break,27,171,238,19,4626,2020
60,61,Bridgerton,79,57,6,748,4486,2020
61,62,Unorthodox,38,113,44,97,4283,2020
62,63,How to Get Away with Murder,55,76,154,27,4168,2020
63,64,Toy Boy,29,143,52,80,4158,2020
64,65,Demon Slayer: Kimetsu no Yaiba,7,592,281,15,4144,2020
65,66,The Sinner,43,96,63,66,4139,2020
66,67,Resurrection: Ertugrul,10,405,191,21,4049,2020
67,68,Dash & Lily,77,52,19,212,4037,2020
68,69,Enemigo íntimo,16,246,92,43,3928,2020
69,70,Hospital Playlist,9,427,214,18,3846,2020
70,71,Down to Earth with Zac Efron,52,73,28,135,3789,2020
71,72,Was It Love,9,416,85,44,3746,2020
72,73,Sweet Home,76,49,13,286,3716,2020
73,74,Elite,32,116,68,55,3715,2020
74,75,Selena: The Series,22,166,27,135,3646,2020
